sample_id,sentence_id,sentence
1,1,"And then she saw that there was a light ahead of her ; not a few inches away where the back of the wardrobe ought to have been , but a long way off ."
1,2,What 's that ?  said Lucy .
1,3,You might find anything in a place like this .
1,4,"And you -- you have come from the wild woods of the west ? """
1,5,"Like what ? said Susan ; "" and anyway , it 's time you were in bed . """
1,6,"Do stop grumbling , Ed , said Susan ."
1,7,"Of course I 'm a girl , said Lucy ."
1,8,"They were sent to the house of an old Professor who lived in the heart of the country , ten miles from the nearest railway station and two miles from the nearest post office ."
1,9,"Not for me , said Peter , "" I 'm going to explore in the house . """
1,10,Next moment she found that what was rubbing against her face and hands was no longer soft fur but something hard and rough and even prickly .
1,11,Mr. Tumnus !
1,12,"Why , it is she that has got all Narnia under her thumb ."
1,13,"It was a little , dry , clean cave of reddish stone with a carpet on the floor and two little chairs ( "" one for me and one for a friend , "" said Mr. Tumnus ) and a table and a dresser and a mantelpiece over the fire and above that a picture of an old Faun with a grey beard ."
1,14,And when Lucy was tired of eating the Faun began to talk .
1,15,That 's what I am .
1,16,"Ten to one it 'll clear up in an hour or so .
 And in the meantime we 're pretty well off .
 There 's a wireless and lots of books ."
1,17,"Thank you very much , Mr. Tumnus ,  said Lucy ."
1,18,I think you are a very good Faun .
1,19,He had no wife and he lived in a very large house with a housekeeper called Mrs. Macready and three servants .
1,20,"Whatever is the matter ? "" for the Faun 's brown eyes had filled with tears and then the tears began trickling down his cheeks , and soon they were running off the end of his nose ; and at last he covered his face with his hands and began to howl ."
1,21,"Trying to talk like Mother , said Edmund ."
1,22,"He told about the midnight dances and how the Nymphs who lived in the wells and the Dryads who lived in the trees came out to dance with the Fauns ; about long hunting parties after the milk - white Stag who could give you wishes if you caught him ; about feasting and treasure - seeking with the wild Red Dwarfs in deep mines and caverns far beneath the forest floor ; and then about summer when the woods were green and old Silenus on his fat donkey would come to visit them , and sometimes Bacchus himself , and then the streams would run with wine instead of water and the whole forest would give itself up to jollification for weeks on end ."
1,23,Stop it at once !
1,24,Do n't !
1,25,That 's the way .
1,26,"But they are n't countries at all ,  said Lucy , almost laughing ."
1,27,"It was the sort of house that you never seem to come to the end of , and it was full of unexpected places ."
1,28,"He himself was a very old man with shaggy white hair , which grew over most of his face as well as on his head , and they liked him almost at once ; but on the first evening when he came out to meet them at the front door he was so odd - looking that Lucy ( who was the youngest ) was a little afraid of him , and Edmund ( who was the next youngest ) wanted to laugh and had to keep on pretending he was blowing his nose to hide it ."
1,29,"I -- I got in through the wardrobe in the spare room ,  said Lucy ."
1,30,Badgers ! said Lucy .
1,31,Then she noticed that there was something crunching under her feet .
1,32,Do n't go on talking like that .
1,33,"Lucy felt a little frightened , but she felt very inquisitive and excited as well ."
1,34,But what does she pay you for ?
1,35,"No good ?  said Lucy , jumping up and feeling rather frightened ."
1,36,Snakes ! said Edmund .
1,37,"From the waist upwards he was like a man , but his legs were shaped like a goat 's ( the hair on them was glossy black ) and instead of feet he had goat 's hoofs ."
1,38,And the woods ?
1,39,Do n't !
1,40,"Now -- off we go . """
1,41,Always winter and never Christmas ; think of that !
1,42,"I think he 's an old dear , said Susan ."
1,43,And so Lucy found herself walking through the wood arm in arm with this strange creature as if they had known one another all their lives .
1,44,What with the parcels and the snow it looked just as if he had been doing his Christmas shopping .
1,45,My name is Tumnus .
1,46,"Mr. Tumnus !  bawled Lucy in his ear , shaking him ."
1,47,Allow me to introduce myself .
1,48,"He also had a tail , but Lucy did not notice this at first because it was neatly caught up over the arm that held the umbrella so as to keep it from trailing in the snow ."
1,49,And the tune he played made Lucy want to cry and laugh and dance and go to sleep all at the same time .
1,50,"She stayed behind because she thought it would be worth while trying the door of the wardrobe , even though she felt almost sure that it would be locked ."
1,51,I am delighted .
1,52,"I can always get back if anything goes wrong , thought Lucy ."
1,53,"Do stop grumbling , Ed , said Susan ."
1,54,"Once there were four children whose names were Peter , Susan , Edmund and Lucy ."
1,55,It 's she that makes it always winter .
1,56,"And who are you to say when I 'm to go to bed ?
 Go to bed yourself ."
1,57,"He was only a little taller than Lucy herself and he carried over his head an umbrella , white with snow ."
1,58,But I 've never seen a Son of Adam or a Daughter of Eve before .
1,59,How awful !  said Lucy .
