sentence_id,sentence,entities
118,It 's only just back there -- at least -- I 'm not sure .,[]
112,"This is the land of Narnia ,  said the Faun , "" where we are now ; all that lies between the lamp - post and the great castle of Cair Paravel on the eastern sea .","[{""text"": ""Faun"", ""label"": ""ACTIVE_SPEAKER""}]"
167,But the Faun continued sobbing as if his heart would break .,"[{""text"": ""Faun"", ""label"": ""ACTIVE_PERFORMER""}]"
87,He was a Faun .,"[{""text"": ""Faun"", ""label"": ""MENTIONED_ONLY""}]"
12,"Oh , come off it ! said Edmund , who was tired and pretending not to be tired , which always made him bad - tempered .","[{""text"": ""Edmund"", ""label"": ""ACTIVE_SPEAKER""}]"
61,But she could not feel it .,[]
183,"My old father , now ,  said Mr. Tumnus , "" that 's his picture over the mantelpiece .","[{""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
101,How stupid of me !,[]
42,Of course it _would_ be raining ! said Edmund .,"[{""text"": ""Edmund"", ""label"": ""ACTIVE_SPEAKER""}]"
172,Stop it at once !,[]
192,"Why , it is she that has got all Narnia under her thumb .",[]
178,You are the nicest Faun I 've ever met .,"[{""text"": ""Faun"", ""label"": ""ADDRESSED""}]"
154,"No good ?  said Lucy , jumping up and feeling rather frightened .","[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
99,"Of course I 'm human , said Lucy , still a little puzzled .","[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
144,And when Lucy was tired of eating the Faun began to talk .,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
197,"That 's the worst of it ,  said Mr. Tumnus with a deep groan .","[{""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
4,He had no wife and he lived in a very large house with a housekeeper called Mrs. Macready and three servants .,"[{""text"": ""Mrs. Macready"", ""label"": ""MENTIONED_ONLY""}]"
94,Excuse me -- I do n't want to be inquisitive -- but should I be right in thinking that you are a Daughter of Eve ?,"[{""text"": ""Daughter of Eve"", ""label"": ""ADDRESSED""}]"
3,"They were sent to the house of an old Professor who lived in the heart of the country , ten miles from the nearest railway station and two miles from the nearest post office .","[{""text"": ""Professor"", ""label"": ""MENTIONED_ONLY""}]"
132,"At the bottom of one small valley Mr. Tumnus turned suddenly aside as if he were going to walk straight into an unusually large rock , but at the last moment Lucy found he was leading her into the entrance of a cave .","[{""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}]"
