sentence_id,sentence_text,character_mention,canonical_character,label,evidence_span,notes
1,"Once there were four children whose names were Peter , Susan , Edmund and Lucy .",Peter,Peter Pevensie,MENTIONED_ONLY,,
1,"Once there were four children whose names were Peter , Susan , Edmund and Lucy .",Susan,Susan Pevensie,MENTIONED_ONLY,,
1,"Once there were four children whose names were Peter , Susan , Edmund and Lucy .",Edmund,Edmund Pevensie,MENTIONED_ONLY,,
1,"Once there were four children whose names were Peter , Susan , Edmund and Lucy .",Lucy,Lucy Pevensie,MENTIONED_ONLY,,
2,This story is about something that happened to them when they were sent away from London during the war because of the air - raids .,,,MENTIONED_ONLY,,
3,"They were sent to the house of an old Professor who lived in the heart of the country , ten miles from the nearest railway station and two miles from the nearest post office .",Professor ,Professor Digory Kirke,MENTIONED_ONLY,,
4,He had no wife and he lived in a very large house with a housekeeper called Mrs. Macready and three servants .,Mrs. Macready,Mrs. Macready,MENTIONED_ONLY,,
5,"( Their names were Ivy , Margaret and Betty , but they do not come into the story much . )",Ivy,Ivy,MENTIONED_ONLY,,
5,"( Their names were Ivy , Margaret and Betty , but they do not come into the story much . )",Margaret,Margaret,MENTIONED_ONLY,,
5,"( Their names were Ivy , Margaret and Betty , but they do not come into the story much . )",Betty,Betty,MENTIONED_ONLY,,
6,"He himself was a very old man with shaggy white hair , which grew over most of his face as well as on his head , and they liked him almost at once ; but on the first evening when he came out to meet them at the front door he was so odd - looking that Lucy ( who was the youngest ) was a little afraid of him , and Edmund ( who was the next youngest ) wanted to laugh and had to keep on pretending he was blowing his nose to hide it .",Lucy,Lucy Pevensie,MENTIONED_ONLY,,
6,"He himself was a very old man with shaggy white hair , which grew over most of his face as well as on his head , and they liked him almost at once ; but on the first evening when he came out to meet them at the front door he was so odd - looking that Lucy ( who was the youngest ) was a little afraid of him , and Edmund ( who was the next youngest ) wanted to laugh and had to keep on pretending he was blowing his nose to hide it .",Edmund,Edmund Pevensie,MENTIONED_ONLY,,
7,"As soon as they had said good night to the Professor and gone upstairs on the first night , the boys came into the girls ' room and they all talked it over .",Professor,Professor Digory Kirke,,,
8,"We 've fallen on our feet and no mistake , said Peter .",Peter,Peter Pevensie,ACTIVE_SPEAKER,,
9,This is going to be perfectly splendid .,,,,,
10, That old chap will let us do anything we like .,,,,,
11,"I think he 's an old dear , said Susan .",Susan,Susan Pevensie,ACTIVE_SPEAKER,,
12,"Oh , come off it ! said Edmund , who was tired and pretending not to be tired , which always made him bad - tempered .",Edmund,Edmund Pevensie,ACTIVE_SPEAKER,,
13,Do n't go on talking like that .,,,,,
14,"Like what ? said Susan ; "" and anyway , it 's time you were in bed . """,Susan,Susan Pevensie,ACTIVE_SPEAKER,,
15,"Trying to talk like Mother , said Edmund .",Mother,Mrs. Pevensie,MENTIONED_ONLY,,
16,"Trying to talk like Mother , said Edmund .",Edmund,Edmund Pevensie,ACTIVE_SPEAKER,,
17,"And who are you to say when I 'm to go to bed ?
 Go to bed yourself .",,,,,
18,Had n't we all better go to bed ? said Lucy .,Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
19,There 's sure to be a row if we 're heard talking here .,,,,,
20,"No there wo n't , said Peter .",Peter,Peter Pevensie,ACTIVE_SPEAKER,,
21,I tell you this is the sort of house where no one 's going to mind what we do .,,,,,
22," Anyway , they wo n't hear us .",,,,,
23," It 's about ten minutes ' walk from here down to that dining room , and any amount of stairs and passages in between ",,,,,
24,What 's that noise ? said Lucy suddenly .,Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
25,It was a far larger house than she had ever been in before and the thought of all those long passages and rows of doors leading into empty rooms was beginning to make her feel a little creepy .,,,,,
26,"It 's only a bird , silly , said Edmund .",Edmund,Edmund Pevensie,ACTIVE_SPEAKER,,
27,"It 's an owl , said Peter .",Peter,Peter Pevensie,ACTIVE_SPEAKER,,
28,This is going to be a wonderful place for birds .,,,,,
29, I shall go to bed now .,,,,,
30," I say , let 's go and explore to - morrow .",,,,,
31, You might find anything in a place like this .,,,,,
32, Did you see those mountains as we came along ?,,,,,
33,And the woods ?,,,,,
34, There might be eagles .,,,,,
35, There might be stags .,,,,,
36, There 'll be hawks .,,,,,
37,,,,,,
38,Badgers ! said Lucy .,Lucy,Lucy Pevensie,ACTIVE_SPEAKER,,
39,Snakes ! said Edmund .,Edmund,Edmund Pevensie,ACTIVE_SPEAKER,,
40,Foxes ! said Susan .,Susan,Susan Pevensie,ACTIVE_SPEAKER,,
41,"But when next morning came , there was a steady rain falling , so thick that when you looked out of the window you could see neither the mountains nor the woods nor even the stream in the garden .",,,,,
42,Of course it _would_ be raining ! said Edmund .,Edmund,Edmund Pevensie,ACTIVE_SPEAKER,,
43,"They had just finished breakfast with the Professor and were upstairs in the room he had set apart for them -- a long , low room with two windows looking out in one direction and two in another .",Professor,Professor Digory Kirke,MENTIONED_ONLY,,
44,"Do stop grumbling , Ed , said Susan .",Ed ,Edmund Pevensie,ADDRESSED,,
45,"Do stop grumbling , Ed , said Susan .",Susan,Susan Pevensie,ACTIVE_SPEAKER,,
46,"Ten to one it 'll clear up in an hour or so .
 And in the meantime we 're pretty well off .
 There 's a wireless and lots of books .",,,,,
47,"Not for me , said Peter , "" I 'm going to explore in the house . """,Peter,Peter Pevensie,ACTIVE_SPEAKER,,
48,Everyone agreed to this and that was how the adventures began .,,,,,
49,"It was the sort of house that you never seem to come to the end of , and it was full of unexpected places .",,,,,
