sample_id,sentence_id,entities
1,1,[]
1,2,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
1,3,[]
1,4,[]
1,5,"[{""text"": ""Susan"", ""label"": ""ACTIVE_SPEAKER""}]"
1,6,"[{""text"": ""Ed"", ""label"": ""ADDRESSED""}]"
1,7,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
1,8,"[{""text"": ""Professor"", ""label"": ""MENTIONED_ONLY""}]"
1,9,"[{""text"": ""Peter"", ""label"": ""ACTIVE_SPEAKER""}]"
1,10,[]
1,11,"[{""text"": ""Mr. Tumnus"", ""label"": ""ADDRESSED""}]"
1,12,[]
1,13,"[{""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Faun"", ""label"": ""MISCELLANEOUS""}]"
1,14,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
1,15,[]
1,16,[]
1,17,"[{""text"": ""Mr. Tumnus"", ""label"": ""ADDRESSED""}, {""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
1,18,"[{""text"": ""Faun"", ""label"": ""ADDRESSED""}]"
1,19,"[{""text"": ""Mrs. Macready"", ""label"": ""MENTIONED_ONLY""}]"
1,20,"[{""text"": ""Faun"", ""label"": ""ACTIVE_PERFORMER""}]"
1,21,"[{""text"": ""Edmund"", ""label"": ""ACTIVE_SPEAKER""}]"
1,22,"[{""text"": ""Silenus"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Bacchus"", ""label"": ""MENTIONED_ONLY""}]"
1,23,[]
1,24,[]
1,25,[]
1,26,"[{""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
1,27,[]
1,28,"[{""text"": ""Lucy"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Edmund"", ""label"": ""MENTIONED_ONLY""}]"
1,29,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
1,30,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
1,31,[]
1,32,[]
1,33,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
1,34,[]
1,35,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
1,36,"[{""text"": ""Edmund"", ""label"": ""ACTIVE_SPEAKER""}]"
1,37,[]
1,38,[]
1,39,[]
1,40,[]
1,41,[]
1,42,"[{""text"": ""Susan"", ""label"": ""ACTIVE_SPEAKER""}]"
1,43,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_PERFORMER""}]"
1,44,[]
1,45,"[{""text"": ""Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
1,46,"[{""text"": ""Mr. Tumnus"", ""label"": ""ADDRESSED""}, {""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
1,47,[]
1,48,[]
1,49,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
1,50,[]
1,51,[]
1,52,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
1,53,"[{""text"": ""Susan"", ""label"": ""ACTIVE_SPEAKER""}]"
1,54,"[{""text"": ""Peter"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Susan"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Edmund"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Lucy"", ""label"": ""MENTIONED_ONLY""}]"
1,55,[]
1,56,[]
1,57,"[{""text"": ""Lucy"", ""label"": ""MENTIONED_ONLY""}]"
1,58,"[{""text"": ""Son of Adam"", ""label"": ""MISCELLANEOUS""}, {""text"": ""Daughter of Eve"", ""label"": ""MISCELLANEOUS""}]"
1,59,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
1,60,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
1,61,[]
1,62,[]
1,63,"[{""text"": ""Susan"", ""label"": ""ACTIVE_SPEAKER""}]"
1,64,[]
