chapter_id,sentence_id,predicted_entities
1,1,"[{""text"": ""Peter"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Susan"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Edmund"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Lucy"", ""label"": ""MENTIONED_ONLY""}]"
1,2,[]
1,3,"[{""text"": ""Professor"", ""label"": ""MENTIONED_ONLY""}]"
1,4,"[{""text"": ""Mrs. Macready"", ""label"": ""MENTIONED_ONLY""}]"
1,5,"[{""text"": ""Ivy"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Margaret"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Betty"", ""label"": ""MENTIONED_ONLY""}]"
1,6,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""Edmund"", ""label"": ""ACTIVE_THOUGHT""}]"
1,7,"[{""text"": ""the Professor"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""the boys"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""the girls"", ""label"": ""ACTIVE_PERFORMER""}]"
1,8,"[{""text"": ""Peter"", ""label"": ""ACTIVE_SPEAKER""}]"
1,9,[]
1,10,"[{""text"": ""old chap"", ""label"": ""MENTIONED_ONLY""}]"
1,11,"[{""text"": ""Susan"", ""label"": ""ACTIVE_SPEAKER""}]"
1,12,"[{""text"": ""Edmund"", ""label"": ""ACTIVE_SPEAKER""}]"
1,13,[]
1,14,"[{""text"": ""Susan"", ""label"": ""ACTIVE_SPEAKER""}]"
1,15,"[{""text"": ""Edmund"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Mother"", ""label"": ""MENTIONED_ONLY""}]"
1,16,[]
1,17,[]
1,18,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
1,19,[]
1,20,"[{""text"": ""Peter"", ""label"": ""ACTIVE_SPEAKER""}]"
1,21,[]
1,22,[]
1,23,[]
1,24,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
1,25,[]
1,26,"[{""text"": ""Edmund"", ""label"": ""ACTIVE_SPEAKER""}]"
1,27,"[{""text"": ""Peter"", ""label"": ""ACTIVE_SPEAKER""}]"
1,28,[]
1,29,[]
1,30,[]
1,31,[]
1,32,[]
1,33,[]
1,34,[]
1,35,[]
1,36,[]
1,37,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
1,38,"[{""text"": ""Edmund"", ""label"": ""ACTIVE_SPEAKER""}]"
1,39,"[{""text"": ""Susan"", ""label"": ""ACTIVE_SPEAKER""}]"
1,40,[]
1,41,"[{""text"": ""Edmund"", ""label"": ""ACTIVE_SPEAKER""}]"
1,42,"[{""text"": ""the Professor"", ""label"": ""MENTIONED_ONLY""}]"
1,43,"[{""text"": ""Susan"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Ed"", ""label"": ""ADDRESSED""}]"
1,44,[]
1,45,[]
1,46,[]
1,47,"[{""text"": ""Peter"", ""label"": ""ACTIVE_SPEAKER""}]"
1,48,[]
1,49,[]
1,50,[]
1,51,[]
1,52,"[{""text"": ""Peter"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Lucy"", ""label"": ""ACTIVE_PERFORMER""}]"
1,53,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
1,54,[]
1,55,[]
1,56,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
1,57,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_PERFORMER""}]"
1,58,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_PERFORMER""}]"
1,59,[]
1,60,[]
1,61,[]
1,62,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
1,63,[]
1,64,[]
1,65,[]
1,66,[]
1,67,[]
1,68,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
1,69,[]
1,70,[]
1,71,[]
1,72,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
1,73,[]
1,74,[]
1,75,[]
1,76,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
1,77,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_PERFORMER""}]"
1,78,[]
1,79,[]
1,80,[]
1,81,"[{""text"": ""Lucy"", ""label"": ""MENTIONED_ONLY""}]"
1,82,[]
1,83,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
1,84,[]
1,85,[]
1,86,[]
1,87,[]
1,88,"[{""text"": ""Faun"", ""label"": ""MENTIONED_ONLY""}]"
1,89,"[{""text"": ""Lucy"", ""label"": ""MENTIONED_ONLY""}]"
1,90,"[{""text"": ""the Faun"", ""label"": ""ACTIVE_SPEAKER""}]"
2,1,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
2,2,"[{""text"": ""Faun"", ""label"": ""ACTIVE_PERFORMER""}]"
2,3,"[{""text"": ""he"", ""label"": ""ACTIVE_PERFORMER""}]"
2,4,"[{""text"": ""the Faun"", ""label"": ""ACTIVE_SPEAKER""}]"
2,5,[]
2,6,"[{""text"": ""Daughter of Eve"", ""label"": ""MISCELLANEOUS""}]"
2,7,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
2,8,[]
2,9,"[{""text"": ""the Faun"", ""label"": ""ACTIVE_SPEAKER""}]"
2,10,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
2,11,[]
2,12,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
2,13,"[{""text"": ""the Faun"", ""label"": ""ACTIVE_SPEAKER""}]"
2,14,[]
2,15,"[{""text"": ""Son of Adam"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Daughter of Eve"", ""label"": ""MENTIONED_ONLY""}]"
2,16,[]
2,17,[]
2,18,[]
2,19,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Mr. Tumnus"", ""label"": ""ADDRESSED""}]"
2,20,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""O Lucy"", ""label"": ""ADDRESSED""}, {""text"": ""Daughter of Eve"", ""label"": ""ADDRESSED""}, {""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
2,21,[]
2,22,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
2,23,"[{""text"": ""the Faun"", ""label"": ""ACTIVE_SPEAKER""}]"
2,24,[]
2,25,[]
2,26,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
2,27,"[{""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
2,28,"[{""text"": ""little Faun"", ""label"": ""MENTIONED_ONLY""}]"
2,29,[]
2,30,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
2,31,[]
2,32,[]
2,33,"[{""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
2,34,[]
2,35,"[{""text"": ""Daughter of Eve"", ""label"": ""ADDRESSED""}]"
2,36,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Mr. Tumnus"", ""label"": ""ADDRESSED""}]"
2,37,[]
2,38,"[{""text"": ""the Faun"", ""label"": ""ACTIVE_SPEAKER""}]"
2,39,[]
2,40,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_SPEAKER""}]"
2,41,[]
2,42,"[{""text"": ""Daughter of Eve"", ""label"": ""ADDRESSED""}, {""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
2,43,[]
2,44,[]
2,45,[]
2,46,[]
2,47,"[{""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Lucy"", ""label"": ""ACTIVE_PERFORMER""}]"
2,48,[]
2,49,"[{""text"": ""he"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Lucy"", ""label"": ""ACTIVE_PERFORMER""}]"
2,50,[]
2,51,"[{""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}]"
2,52,[]
2,53,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}]"
2,54,"[{""text"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""friend"", ""label"": ""MENTIONED_ONLY""}]"
2,55,"[{""text"": ""old Faun"", ""label"": ""MENTIONED_ONLY""}]"
2,56,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""Mr. Tumnus"", ""label"": ""MENTIONED_ONLY""}]"
2,57,"[{""text"": ""Lucy"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""he"", ""label"": ""ACTIVE_PERFORMER""}]"
2,58,"[{""text"": ""Silenus"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Nymphs"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Men"", ""label"": ""MENTIONED_ONLY""}]"
2,59,"[{""text"": ""Daughter of Eve"", ""label"": ""ADDRESSED""}, {""text"": ""the Faun"", ""label"": ""ACTIVE_SPEAKER""}]"
2,60,[]
2,61,[]
2,62,[]
