sentence_id,sentence,entities,chapter
1,"Once there were four children whose names were Peter , Susan , Edmund and Lucy .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}]",1
2,This story is about something that happened to them when they were sent away from London during the war because of the air - raids .,[],1
3,"They were sent to the house of an old Professor who lived in the heart of the country , ten miles from the nearest railway station and two miles from the nearest post office .","[{""text"": ""Professor"", ""canonical"": ""Professor Digory Kirke"", ""label"": ""MENTIONED_ONLY""}]",1
4,He had no wife and he lived in a very large house with a housekeeper called Mrs. Macready and three servants .,"[{""text"": ""Mrs. Macready"", ""canonical"": ""Mrs. Macready"", ""label"": ""MENTIONED_ONLY""}]",1
5,"( Their names were Ivy , Margaret and Betty , but they do not come into the story much . )","[{""text"": ""Ivy"", ""canonical"": ""Ivy"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Margaret"", ""canonical"": ""Margaret"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Betty"", ""canonical"": ""Betty"", ""label"": ""MENTIONED_ONLY""}]",1
6,"He himself was a very old man with shaggy white hair , which grew over most of his face as well as on his head , and they liked him almost at once ; but on the first evening when he came out to meet them at the front door he was so odd - looking that Lucy ( who was the youngest ) was a little afraid of him , and Edmund ( who was the next youngest ) wanted to laugh and had to keep on pretending he was blowing his nose to hide it .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
7,"As soon as they had said good night to the Professor and gone upstairs on the first night , the boys came into the girls ' room and they all talked it over .","[{""text"": ""Professor"", ""canonical"": ""Professor Digory Kirke"", ""label"": ""MENTIONED_ONLY""}]",1
8,""" We 've fallen on our feet and no mistake , "" said Peter .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
9,""" This is going to be perfectly splendid .",[],1
10,"That old chap will let us do anything we like . """,[],1
11,""" I think he 's an old dear , "" said Susan .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
12,""" Oh , come off it ! "" said Edmund , who was tired and pretending not to be tired , which always made him bad - tempered .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
13,""" Do n't go on talking like that . """,[],1
14,""" Like what ? "" said Susan ; "" and anyway , it 's time you were in bed . ""","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
15,""" Trying to talk like Mother , "" said Edmund .","[{""text"": ""Mother"", ""canonical"": ""Mrs. Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
16,""" And who are you to say when I 'm to go to bed ?",[],1
17,"Go to bed yourself . """,[],1
18,""" Had n't we all better go to bed ? "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
19,""" There 's sure to be a row if we 're heard talking here . """,[],1
20,""" No there wo n't , "" said Peter .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
21,""" I tell you this is the sort of house where no one 's going to mind what we do .",[],1
22,"Anyway , they wo n't hear us .",[],1
23,"It 's about ten minutes ' walk from here down to that dining room , and any amount of stairs and passages in between . """,[],1
24,""" What 's that noise ? "" said Lucy suddenly .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
25,It was a far larger house than she had ever been in before and the thought of all those long passages and rows of doors leading into empty rooms was beginning to make her feel a little creepy .,"[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",1
26,""" It 's only a bird , silly , "" said Edmund .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
27,""" It 's an owl , "" said Peter .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
28,""" This is going to be a wonderful place for birds .",[],1
29,I shall go to bed now .,[],1
30,"I say , let 's go and explore to - morrow .",[],1
31,You might find anything in a place like this .,[],1
32,Did you see those mountains as we came along ?,[],1
33,And the woods ?,[],1
34,There might be eagles .,[],1
35,There might be stags .,[],1
36,"There 'll be hawks . """,[],1
37,""" Badgers ! "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
38,""" Snakes ! "" said Edmund .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
39,""" Foxes ! "" said Susan .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
40,"But when next morning came , there was a steady rain falling , so thick that when you looked out of the window you could see neither the mountains nor the woods nor even the stream in the garden .",[],1
41,""" Of course it _would_ be raining ! "" said Edmund .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
42,"They had just finished breakfast with the Professor and were upstairs in the room he had set apart for them -- a long , low room with two windows looking out in one direction and two in another .","[{""text"": ""Professor"", ""canonical"": ""Professor Digory Kirke"", ""label"": ""MENTIONED_ONLY""}]",1
43,""" Do stop grumbling , Ed , "" said Susan .","[{""text"": ""Ed"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
44,""" Ten to one it 'll clear up in an hour or so .",[],1
45,And in the meantime we 're pretty well off .,[],1
46,"There 's a wireless and lots of books . """,[],1
47,""" Not for me , "" said Peter , "" I 'm going to explore in the house . ""","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
48,Everyone agreed to this and that was how the adventures began .,[],1
49,"It was the sort of house that you never seem to come to the end of , and it was full of unexpected places .",[],1
50,"The first few doors they tried led only into spare bedrooms , as everyone had expected that they would ; but soon they came to a very long room full of pictures and there they found a suit of armour ; and after that was a room all hung with green , with a harp in one corner ; and then came three steps down and five steps up , and then a kind of little upstairs hall and a door that led out onto a balcony , and then a whole series of rooms that led into each other and were lined with books -- most of them very old books and some bigger than a Bible in a church .",[],1
51,And shortly after that they looked into a room that was quite empty except for one big wardrobe ; the sort that has a looking - glass in the door .,[],1
52,There was nothing else in the room at all except a dead blue - bottle on the window - sill .,[],1
53,""" Nothing there ! "" said Peter , and they all trooped out again -- all except Lucy .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}]",1
54,"She stayed behind because she thought it would be worth while trying the door of the wardrobe , even though she felt almost sure that it would be locked .","[{""text"": ""She"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",1
55,"To her surprise it opened quite easily , and two moth - balls dropped out .","[{""text"": ""her"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",1
56,"Looking into the inside , she saw several coats hanging up -- mostly long fur coats .","[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
57,There was nothing Lucy liked so much as the smell and feel of fur.,"[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",1
58,"She immediately stepped into the wardrobe and got in among the coats and rubbed her face against them , leaving the door open , of course , because she knew that it is very foolish to shut oneself into any wardrobe .","[{""text"": ""She"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
59,Soon she went further in and found that there was a second row of coats hanging up behind the first one .,"[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
60,It was almost quite dark in there and she kept her arms stretched out in front of her so as not to bump her face into the back of the wardrobe .,"[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
61,She took a step further in -- then two or three steps -- always expecting to feel woodwork against the tips of her fingers .,"[{""text"": ""She"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
62,But she could not feel it .,"[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
63,""" This must be a simply enormous wardrobe ! "" thought Lucy , going still further in and pushing the soft folds of the coats aside to make room for her .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",1
64,Then she noticed that there was something crunching under her feet .,"[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
65,""" I wonder is that more moth - balls ? "" she thought , stooping down to feel it with her hands .","[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",1
66,"But instead of feeling the hard , smooth wood of the floor of the wardrobe , she felt something soft and powdery and extremely cold , "" This is very queer , "" she said , and went on a step or two further .","[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
67,Next moment she found that what was rubbing against her face and hands was no longer soft fur but something hard and rough and even prickly .,"[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
68,""" Why , it is just like branches of trees ! "" exclaimed Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]",1
69,"And then she saw that there was a light ahead of her ; not a few inches away where the back of the wardrobe ought to have been , but a long way off .","[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
70,Something cold and soft was falling on her .,"[{""text"": ""her"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}]",1
71,A moment later she found that she was standing in the middle of a wood at night - time with snow under her feet and snowflakes falling through the air .,"[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
72,"Lucy felt a little frightened , but she felt very inquisitive and excited as well .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",1
73,"She looked back over her shoulder and there , between the dark tree - trunks , she could still see the open doorway of the wardrobe and even catch a glimpse of the empty room from which she had set out .","[{""text"": ""She"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
74,"( She had , of course , left the door open , for she knew that it is a very silly thing to shut oneself into a wardrobe . )","[{""text"": ""She"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",1
75,It seemed to be still daylight there .,[],1
76,""" I can always get back if anything goes wrong , "" thought Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",1
77,"She began to walk forward , _crunch - crunch_ , over the snow and through the wood towards the other light .","[{""text"": ""She"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
78,In about ten minutes she reached it and found that it was a lamp - post .,"[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]",1
79,"As she stood looking at it , wondering why there was a lamp - post in the middle of a wood and wondering what to do next , she heard a pitter patter of feet coming towards her .","[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",1
80,And soon after that a very strange person stepped out from among the trees into the light of the lamp - post .,[],1
81,"He was only a little taller than Lucy herself and he carried over his head an umbrella , white with snow .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}]",1
82,"From the waist upwards he was like a man , but his legs were shaped like a goat 's ( the hair on them was glossy black ) and instead of feet he had goat 's hoofs .",[],1
83,"He also had a tail , but Lucy did not notice this at first because it was neatly caught up over the arm that held the umbrella so as to keep it from trailing in the snow .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]",1
84,He had a red woollen muffler round his neck and his skin was rather reddish too .,[],1
85,"He had a strange , but pleasant little face with a short pointed beard and curly hair , and out of the hair there stuck two horns , one on each side of his forehead .",[],1
86,"One of his hands , as I have said , held the umbrella : in the other arm he carried several brown paper parcels .",[],1
87,What with the parcels and the snow it looked just as if he had been doing his Christmas shopping .,[],1
88,He was a Faun .,"[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""MISCELLANEOUS""}]",1
89,And when he saw Lucy he gave such a start of surprise that he dropped all his parcels .,"[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}]",1
