sentence_id,sentence,entities
1,"Edmund meanwhile had been having a most disappointing time .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]"
2,"When the Dwarf had gone to get the sledge ready he expected that the Witch would start being nice to him , as she had been at their last meeting .","[{""text"": ""Dwarf"", ""canonical"": ""Dwarf"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""he"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
3,"But she said nothing at all .","[{""text"": ""she"", ""canonical"": ""Jadis"", ""label"": ""ACTIVE_SPEAKER""}]"
4,"And when at last Edmund plucked up his courage to say , "" Please , your Majesty , could I have some Turkish Delight ?","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""your Majesty"", ""canonical"": ""Jadis"", ""label"": ""ADDRESSED""}]"
5,"You -- you -- said -- "" she answered , "" Silence , fool ! ""","[{""text"": ""she"", ""canonical"": ""Jadis"", ""label"": ""ACTIVE_SPEAKER""}]"
6,"Then she appeared to change her mind and said , as if to herself , "" And yet it will not do to have the brat fainting on the way , "" and once more clapped her hands .","[{""text"": ""she"", ""canonical"": ""Jadis"", ""label"": ""ACTIVE_SPEAKER""}]"
7,"Another dwarf appeared .","[{""text"": ""dwarf"", ""canonical"": ""Dwarf"", ""label"": ""ACTIVE_PERFORMER""}]"
8,""" Bring the human creature food and drink , "" she said .","[{""text"": ""she"", ""canonical"": ""Jadis"", ""label"": ""ACTIVE_SPEAKER""}]"
9,"The Dwarf went away and presently returned bringing an iron bowl with some water in it and an iron plate with a hunk of dry bread on it .","[{""text"": ""Dwarf"", ""canonical"": ""Dwarf"", ""label"": ""ACTIVE_PERFORMER""}]"
10,"He grinned in a repulsive manner as he set them down the floor beside Edmund and said :","[{""text"": ""He"", ""canonical"": ""Dwarf"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""MENTIONED_ONLY""}]"
11,""" Turkish Delight for the little Prince .","[{""text"": ""Prince"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ADDRESSED""}]"
12,"Ha !","[]"
13,"Ha !","[]"
14,"Ha ! ""","[]"
15,""" Take it away , "" said Edmund sulkily .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
16,""" I do n't want dry bread . ""","[{""text"": ""I"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
17,"But the Witch suddenly turned on him with such a terrible expression on her face that he apologised and began to nibble at the bread , though it was so stale he could hardly get it down .","[{""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""he"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
18,""" You may be glad enough of it before you taste bread again , "" said the Witch .","[{""text"": ""You"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""ACTIVE_SPEAKER""}]"
