"sentence_id","sentence","entities"
"1","While the two boys were whispering behind , both the girls suddenly cried "" Oh !","[{""text"": ""boys"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""boys"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""girls"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""girls"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
"2",""" and stopped . ""","[]"
"3","The robin !","[]"
"4",""" cried Lucy , "" the robin .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"5","It 's flown away . ""","[]"
"6","And so it had -- right out of sight . ""","[]"
"7","And now what are we to do ?","[]"
"8",""" said Edmund , giving Peter a look which was as much as to say "" What did I tell you ? ""","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ADDRESSED""}]"
"9",""" Sh !","[]"
"10","Look !","[]"
"11",""" said Susan . ""","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"12","What ?","[]"
"13",""" said Peter . ""","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"14","There 's something moving among the trees -- over there to the left . ""","[]"
"15","They all stared as hard as they could , and no one felt very comfortable . ""","[]"
"16","There it goes again , "" said Susan presently . ""","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"17","I saw it that time too , "" said Peter . ""","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"18","It 's still there .","[]"
"19","It 's just gone behind that big tree . ""","[]"
"20",""" What is it ?","[]"
"21",""" asked Lucy , trying very hard not to sound nervous . ""","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"22","Whatever it is , "" said Peter , "" it 's dodging us .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"23","It 's something that does n't want to be seen . ""","[]"
"24",""" Let 's go home , "" said Susan .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"25","And then , though nobody said it out loud , everyone suddenly realised the same fact that Edmund had whispered to Peter at the end of the last chapter .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""MENTIONED_ONLY""}]"
"26","They were lost . ""","[]"
"27","What 's it like ?","[]"
"28",""" said Lucy . ""","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"29","It 's -- it 's a kind of animal , "" said Susan ; and then , "" Look !","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"30","Look !","[]"
"31","Quick !","[]"
"32","There it is . ""","[]"
"33","They all saw it this time , a whiskered furry face which had looked out at them from behind a tree .","[{""text"": ""it"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_PERFORMER""}]"
"34","But this time it did n't immediately draw back .","[{""text"": ""it"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_PERFORMER""}]"
"35","Instead , the animal put its paw against its mouth just as humans put their finger on their lips when they are signalling to you to be quiet .","[{""text"": ""the animal"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_PERFORMER""}]"
"36","Then it disappeared again .","[{""text"": ""it"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_PERFORMER""}]"
"37","The children all stood holding their breaths .","[{""text"": ""children"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""children"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""children"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""children"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
"38","A moment later the stranger came out from behind the tree , glanced all round as if it were afraid someone was watching , said "" Hush , "" made signs to them to join it in the thicker bit of wood where it was standing , and then once more disappeared . ""","[{""text"": ""the stranger"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_PERFORMER""}]"
"39","I know what it is , "" said Peter , "" it 's a beaver .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"40","I saw the tail . ""","[]"
"41",""" It wants us to go to it , "" said Susan , "" and it is warning us not to make a noise . ""","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"42",""" I know , "" said Peter . ""","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
