sentence_id,sentence,entities
1,"Once there were four children whose names were Peter , Susan , Edmund and Lucy .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}]"
2,"This story is about something that happened to them when they were sent away from London during the war because of the air - raids .","[]"
3,"They were sent to the house of an old Professor who lived in the heart of the country , ten miles from the nearest railway station and two miles from the nearest post office .","[{""text"": ""old Professor"", ""canonical"": ""Professor Digory Kirke"", ""label"": ""MENTIONED_ONLY""}]"
4,"He had no wife and he lived in a very large house with a housekeeper called Mrs. Macready and three servants .","[{""text"": ""He"", ""canonical"": ""Professor Digory Kirke"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Mrs. Macready"", ""canonical"": ""Mrs. Macready"", ""label"": ""MENTIONED_ONLY""}]"
5,"( Their names were Ivy , Margaret and Betty , but they do not come into the story much . )","[{""text"": ""Ivy"", ""canonical"": ""Ivy"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Margaret"", ""canonical"": ""Margaret"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Betty"", ""canonical"": ""Betty"", ""label"": ""MENTIONED_ONLY""}]"
6,"He himself was a very old man with shaggy white hair , which grew over most of his face as well as on his head , and they liked him almost at once ; but on the first evening when he came out to meet them at the front door he was so odd - looking that Lucy ( who was the youngest ) was a little afraid of him , and Edmund ( who was the next youngest ) wanted to laugh and had to keep on pretending he was blowing his nose to hide it .","[{""text"": ""He"", ""canonical"": ""Professor Digory Kirke"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
7,"As soon as they had said good night to the Professor and gone upstairs on the first night , the boys came into the girls ' room and they all talked it over .","[{""text"": ""the Professor"", ""canonical"": ""Professor Digory Kirke"", ""label"": ""ADDRESSED""}]"
8,""" We 've fallen on our feet and no mistake , "" said Peter .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
9,""" This is going to be perfectly splendid .","[]"
10,"That old chap will let us do anything we like . ""","[]"
11,""" I think he 's an old dear , "" said Susan .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
12,""" Oh , come off it ! "" said Edmund , who was tired and pretending not to be tired , which always made him bad - tempered .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
13,""" Do n't go on talking like that . ""","[]"
14,""" Like what ? "" said Susan ; "" and anyway , it 's time you were in bed . ""","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
15,""" Trying to talk like Mother , "" said Edmund .","[{""text"": ""Mother"", ""canonical"": ""Mrs. Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
16,""" And who are you to say when I 'm to go to bed ?","[]"
17,"Go to bed yourself . ""","[]"
18,""" Had n't we all better go to bed ? "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
19,""" There 's sure to be a row if we 're heard talking here . ""","[]"
20,""" No there wo n't , "" said Peter .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
21,""" I tell you this is the sort of house where no one 's going to mind what we do .","[]"
22,"Anyway , they wo n't hear us .","[]"
23,"It 's about ten minutes ' walk from here down to that dining room , and any amount of stairs and passages in between . ""","[]"
24,""" What 's that noise ? "" said Lucy suddenly .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
25,"It was a far larger house than she had ever been in before and the thought of all those long passages and rows of doors leading into empty rooms was beginning to make her feel a little creepy .","[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]"
26,""" It 's only a bird , silly , "" said Edmund .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
27,""" It 's an owl , "" said Peter .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
28,""" This is going to be a wonderful place for birds .","[]"
29,"I shall go to bed now .","[]"
30,"I say , let 's go and explore to - morrow .","[]"
31,"You might find anything in a place like this .","[]"
32,"Did you see those mountains as we came along ?","[]"
33,"And the woods ?","[]"
34,"There might be eagles .","[]"
35,"There might be stags .","[]"
36,"There 'll be hawks . ""","[]"
37,""" Badgers ! "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
38,""" Snakes ! "" said Edmund .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
39,""" Foxes ! "" said Susan .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
40,"But when next morning came , there was a steady rain falling , so thick that when you looked out of the window you could see neither the mountains nor the woods nor even the stream in the garden .","[]"
41,""" Of course it _would_ be raining ! "" said Edmund .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
42,"They had just finished breakfast with the Professor and were upstairs in the room he had set apart for them -- a long , low room with two windows looking out in one direction and two in another .","[{""text"": ""the Professor"", ""canonical"": ""Professor Digory Kirke"", ""label"": ""MENTIONED_ONLY""}]"
43,""" Do stop grumbling , Ed , "" said Susan .","[{""text"": ""Ed"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
44,""" Ten to one it 'll clear up in an hour or so .","[]"
45,"And in the meantime we 're pretty well off .","[]"
46,"There 's a wireless and lots of books . ""","[]"
47,""" Not for me , "" said Peter , "" I 'm going to explore in the house . ""","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
48,"Everyone agreed to this and that was how the adventures began .","[]"
49,"It was the sort of house that you never seem to come to the end of , and it was full of unexpected places .","[]"
50,"The first few doors they tried led only into spare bedrooms , as everyone had expected that they would ; but soon they came to a very long room full of pictures and there they found a suit of armour ; and after that was a room all hung with green , with a harp in one corner ; and then came three steps down and five steps up , and then a kind of little upstairs hall and a door that led out onto a balcony , and then a whole series of rooms that led into each other and were lined with books -- most of them very old books and some bigger than a Bible in a church .","[]"
51,"And shortly after that they looked into a room that was quite empty except for one big wardrobe ; the sort that has a looking - glass in the door .","[]"
52,"There was nothing else in the room at all except a dead blue - bottle on the window - sill .","[]"
53,""" Nothing there ! "" said Peter , and they all trooped out again -- all except Lucy .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}]"
54,"She stayed behind because she thought it would be worth while trying the door of the wardrobe , even though she felt almost sure that it would be locked .","[{""text"": ""She"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]"
55,"To her surprise it opened quite easily , and two moth - balls dropped out .","[{""text"": ""her"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
56,"Looking into the inside , she saw several coats hanging up -- mostly long fur coats .","[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
57,"There was nothing Lucy liked so much as the smell and feel of fur.","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]"
58,"She immediately stepped into the wardrobe and got in among the coats and rubbed her face against them , leaving the door open , of course , because she knew that it is very foolish to shut oneself into any wardrobe .","[{""text"": ""She"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
59,"Soon she went further in and found that there was a second row of coats hanging up behind the first one .","[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
60,"It was almost quite dark in there and she kept her arms stretched out in front of her so as not to bump her face into the back of the wardrobe .","[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
61,"She took a step further in -- then two or three steps -- always expecting to feel woodwork against the tips of her fingers .","[{""text"": ""She"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
62,"But she could not feel it .","[{""text"": ""she"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
